,Community Name,Community Code,Venue Name,Venue ID,Lat,Long,Categories
60,EAST FAIRVIEW INDUSTRIAL,EFV,Cravings Market Restaurant,4b50dba0f964a5209b3527e3,50.98889542405871,-114.06408528595615,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'American Restaurants', 'name': 'American Restaurant', 'id': '4bf58dd8d48988d14e941735', 'shortName': 'American'}]"
63,EAST FAIRVIEW INDUSTRIAL,EFV,Open Sesame,4b66201df964a52016152be3,50.99234191842781,-114.07093999480433,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Asian Restaurants', 'name': 'Asian Restaurant', 'id': '4bf58dd8d48988d142941735', 'shortName': 'Asian'}]"
64,EAST FAIRVIEW INDUSTRIAL,EFV,Red Lobster,4b68de49f964a520ef902be3,50.998557,-114.070882,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/seafood_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Seafood Restaurants', 'name': 'Seafood Restaurant', 'id': '4bf58dd8d48988d1ce941735', 'shortName': 'Seafood'}]"
79,EAST FAIRVIEW INDUSTRIAL,EFV,Ricky's All Day Grill,4bb78ab653649c7468d745fb,50.978732353288954,-114.04162593967362,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'American Restaurants', 'name': 'American Restaurant', 'id': '4bf58dd8d48988d14e941735', 'shortName': 'American'}]"
80,EAST FAIRVIEW INDUSTRIAL,EFV,Sobeys - Riverbend,4b6b1c84f964a52089f32be3,50.97836991414743,-114.0139283806908,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Grocery Stores', 'name': 'Grocery Store', 'id': '4bf58dd8d48988d118951735', 'shortName': 'Grocery Store'}]"
84,EAST FAIRVIEW INDUSTRIAL,EFV,Yum Bakery,4df139dfe4cda09e6d994d38,50.98501350696791,-114.05135952671647,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Bakeries', 'name': 'Bakery', 'id': '4bf58dd8d48988d16a941735', 'shortName': 'Bakery'}]"
85,EAST FAIRVIEW INDUSTRIAL,EFV,Schanks Sports Grill,4b0586ebf964a520667522e3,50.969442963433096,-114.07347174771215,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/breakfast_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Breakfast Spots', 'name': 'Breakfast Spot', 'id': '4bf58dd8d48988d143941735', 'shortName': 'Breakfast'}]"
88,CANADA OLYMPIC PARK,COP,Angels Drive In,4bad5391f964a52075463be3,51.09475752425708,-114.21124940465485,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Diners', 'name': 'Diner', 'id': '4bf58dd8d48988d147941735', 'shortName': 'Diner'}]"
90,CANADA OLYMPIC PARK,COP,Euphoria Cafe,4d7fbfba4219a1cdd29f7ad3,51.10361184964671,-114.16510169927415,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Cafés', 'name': 'Café', 'id': '4bf58dd8d48988d16d941735', 'shortName': 'Café'}]"
91,CANADA OLYMPIC PARK,COP,Cadence Coffee,4b1d2499f964a520350c24e3,51.085703708631584,-114.18054650037912,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Coffee Shops', 'name': 'Coffee Shop', 'id': '4bf58dd8d48988d1e0931735', 'shortName': 'Coffee Shop'}]"
93,CANADA OLYMPIC PARK,COP,Fergus & Bix Restaurant and Beer Market,4b198b5bf964a52037df23e3,51.05995283111409,-114.21211131819531,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Restaurants', 'name': 'Restaurant', 'id': '4bf58dd8d48988d1c4941735', 'shortName': 'Restaurant'}]"
